SpecObjID,DR8ObjID,DR7ObjID,RA,Dec,RA_string,Dec_string,dist_debiased,irreg_debiased,merg_debiased,Petrorad_u,Petrorad_u_err,Petrorad_g,Petrorad_g_err,Petrorad_r,Petrorad_r_err,Petrorad_i,Petrorad_i_err,Petrorad_z,Petrorad_z_err,Petromag_u,Petromag_u_err,Petromag_g,Petromag_g_err,Petromag_r,Petromag_r_err,Petromag_i,Petromag_i_err,Petromag_z,Petromag_z_err,Extinction_u,Extinction_g,Extinction_r,Extinction_i,Extinction_z,5r_p,s_z,RA_err,Dec_err,2CXO_ID,2CXO_RA,2CXO_Dec,err_ellipse_r0,err_ellipse_r1,significance,major_axis_b,major_axis_h,major_axis_m,major_axis_s,major_axis_u,offset_arcsec,offset_rp,del_offset,flag_offset
380683939305515008,1237650371562111146,587724650337206425,194.6442,-1.813057,12:58:34.61,-01:48:47.0,0.17900507,0.0,0.39958966,6.006825,0.3685823,4.606021,0.2568942,4.133246,0.2738558,4.164675,0.23490239999999998,4.451418,0.30075409999999997,19.416420000000002,0.08163267,17.65302,0.01596546,16.709329999999998,0.01366654,16.2922,0.01199497,15.93571,0.02349355,0.07397962,0.05764442,0.03987814,0.02963373,0.02204205,83.54665,0.08489837,0.00498346182501264,0.00392889455914595,b'2CXO J125835.4-014725',194.64774298140924,-1.7904299914594057,0.29391521903132256,0.2919965271029347,16.734708156129862,0.21955180564469104,0.19190650186883507,0.22422400975478055,0.22512137732341392,0.23879844948812734,82.44976444235964,19.947945136185854,0.29206940273569265,true
396417952292825088,1237651297648247076,587725576423342314,258.02,64.14523,17:12:04.80,+64:08:42.8,0.5203015000000001,0.0,0.0,4.135681,0.5495281,4.783601999999999,0.13413,4.51322,0.123018,4.767365,0.1182597,4.75879,0.4431473,19.582629999999998,0.1325709,17.859379999999998,0.01131125,16.96327,0.009848859,16.54873,0.009469515,16.25451,0.02724681,0.11124760000000002,0.08668339,0.05996717,0.04456203,0.03314596,84.81636999999999,0.07933185,0.0043502391182014,0.00412225656732923,b'2CXO J171206.8+640831',258.02842563257286,64.14212250279921,0.5550384765603454,0.35746689867756476,15.21226939891278,0.6584361238889435,0.24037895138762222,0.707607702320637,0.7372198048087228,0.7388403065250824,32.32948789357389,7.163286499123441,0.5352565554518335,true
499952091909875712,1237651272960901317,587725551735996593,127.9128,52.70156,08:31:39.08,+52:42:05.6,0.41700000000000004,0.083,0.083,14.50787,0.7235967,15.1424,0.2085688,14.937879999999998,0.37189970000000006,14.093670000000001,0.3077775,12.470939999999999,0.401879,17.68393,0.0667827,16.31888,0.01022026,15.75789,0.008647390999999999,15.40843,0.009606191,15.35401,0.03906919,0.20553310000000002,0.16015,0.11079100000000001,0.08232962,0.06123811,78.78947,0.05864288,0.0046034258318264,0.004567858573429329,b'2CXO J083136.0+524310',127.90003403461083,52.719626125660184,0.32946721122339867,0.3071489333766067,7.448775839777663,0.1580034094355547,0.11261071803819006,0.17122073250776046,0.1767523076747127,0.1758439675457956,79.63691230947128,5.331205787532856,0.31479071087211485,true
623826647270844416,1237654383051997351,588010136803803299,138.007,53.34352,09:12:01.67,+53:20:36.7,0.1,0.0,0.45,9.001517,1.01893,9.561889,0.5165026,9.882603,0.5424236,9.197672,0.5188659000000001,7.373769,0.39325429999999995,19.37442,0.1716893,17.12738,0.016584799999999997,16.08314,0.01386908,15.688329999999999,0.01266549,15.52728,0.02546811,0.06954586,0.05418966,0.03748816,0.02785772,0.02072102,80.41571,0.1017284,0.0069490977850686295,0.0066784090222369395,b'2CXO J091159.6+531927',137.99837971166983,53.324330288514396,0.30582353028963893,0.2951340751565312,11.728886678948625,0.1650673034620567,0.13207425766837644,0.16878003470340902,0.1736732861945892,0.17066283247525996,75.73311690032467,7.663276254274777,0.2970319551407954,true
981912576235431936,1237657857138425968,587732135913521261,150.9522,47.63165,10:03:48.53,+47:37:53.9,0.2,0.0,0.0,17.68362,2.6478669999999997,9.903801,0.4786429,9.623816999999999,0.3717351,9.737511,0.441248,9.849317,0.5703723,17.871489999999998,0.05035993,16.47079,0.01545611,15.73695,0.02123635,15.35909,0.03164902,15.058760000000001,0.04156858,0.03483671,0.02714453,0.01877846,0.01395441,0.01037951,78.68476,0.05134725,0.00516935800188747,0.005222267665869001,b'2CXO J100352.8+473653',150.97016856708717,47.61484762821174,0.3176869124920194,0.3106658335676118,6.592782621215382,0.1087785834434672,0.05752922532417256,0.10985712988921827,0.1145088082209619,0.10808620521815192,88.56212930680131,9.202391245261763,0.3144739986945041,true
1096691421169084416,1237655128770609416,587729407545704736,255.7187,33.99947,17:02:52.49,+33:59:58.1,0.055999999999999994,0.0,0.611,10.92142,8.215264,3.228575,0.08059174,3.115493,0.03823782,3.074891,0.04175252,3.01175,0.10019539999999999,19.81411,0.09326003,17.92529,0.01892094,16.94768,0.01751009,16.52037,0.01829523,16.18756,0.01493878,0.09666808,0.07532311,0.05210818,0.03872196,0.02880203,84.73841999999999,0.10025369999999999,0.00415910406969018,0.0041623907242106396,b'2CXO J170256.4+335943',255.73525950602402,33.99548391548541,0.39427481345778753,0.3464622702628033,9.791038467767343,0.49805813632703244,0.41884442944184197,0.5170041230129087,0.5248015211399217,0.5241925932744477,61.31700562918846,19.681317091448594,0.39182929279122836,true
1144061411320686592,1237658803109757212,587733081884852437,176.9727,55.77854,11:47:53.44,+55:46:42.7,0.195,0.0,0.195,5.913667,2.565153,4.643363,0.1688781,4.678348000000001,0.2011618,4.457228,0.1763345,4.234183,0.1326832,18.7586,0.06532046,17.11824,0.009898689,16.26067,0.009106363000000001,15.89475,0.009149129,15.65629,0.01553078,0.03886689,0.03028482,0.0209509,0.01556876,0.0115803,81.30336,0.0481595,0.004123744180365371,0.00420808912185374,b'2CXO J114801.6+554606',177.00708101495297,55.76851036249542,0.8166277217550207,0.5004790229692481,8.167321819420676,0.680579140939639,0.521938670278727,0.7240684016945648,0.739741754911886,0.7381241084690415,128.93066243923064,27.559014942717095,0.7963924669988501,true
1190162555507599360,1237659118797652269,587733397572747267,244.3498,34.97136,16:17:23.95,+34:58:16.9,1.0,0.0,0.0,5.731108,0.705426,4.518675,0.12227439999999999,4.366765,0.09659142,4.289124,0.07777093,4.189208,0.08610855,17.88156,0.02329108,16.03006,0.006342871,15.168270000000001,0.0057746790000000004,14.74957,0.006002296,14.42705,0.006580786,0.1006434,0.07842066,0.05425105,0.04031434,0.02998647,75.84135,0.03049477,0.0024595273018041,0.00253943850141171,b'2CXO J161726.8+345811',244.36173431525287,34.96988370887426,0.40211571257838685,0.3546811656810688,6.422441058193641,0.6154483902023741,0.8563929160120132,0.5926677148872148,0.5934218808452745,0.23455591504352144,43.29100155836533,9.913746574034858,0.40144995143567525,true
1393936149004707840,1237660583371735233,587734862146830473,155.0009,8.22605,10:20:00.21,+08:13:33.8,0.33299999999999996,0.16699999999999998,0.16699999999999998,8.51835,1.131561,7.946434,1.2594319999999999,6.571911,1.242807,6.360675,1.274601,35.059740000000005,12.97507,18.79201,0.07195632,16.90885,0.03359063,16.09236,0.01880038,15.613170000000002,0.03139087,15.29544,0.02826412,0.11008410000000002,0.0857768,0.05933999,0.04409597,0.0327993,80.46181,0.04899956,0.00571095997968765,0.00428398329057089,b'2CXO J102003.4+081331',155.0144469118378,8.225466031427903,0.31979124095877715,0.3070258814337126,7.124396386581872,0.20753857636344533,0.18332843220913542,0.2097575020239115,0.21345569872425701,0.2112437539928898,48.81417336860515,7.427698483531677,0.31981898834800837,true
1544754514769242112,1237661850397376606,588017604149182556,190.3927,44.44423,12:41:34.26,+44:26:39.2,0.2,0.0,0.3,11.18449,0.3176953,12.04607,0.15291939999999998,12.058860000000001,0.1053506,11.818660000000001,0.14656789999999997,11.55832,0.2405277,17.7493,0.05566472,16.52918,0.02442883,16.0166,0.04867946,15.69364,0.12974589999999997,15.541960000000001,0.1672681,0.07119466,0.0554744,0.03837693,0.02851818,0.02121228,80.08301,0.04190066,0.0160371553771841,0.0121459451815807,b'2CXO J124133.3+442537',190.38903792208964,44.426956026444365,0.3228927671546065,0.31272678493906214,7.450421462097485,0.2271242263237507,0.21033291996465917,0.2298635828709766,0.22956885029835442,0.22960817758176974,63.56839357897433,5.271509378081703,0.3134137931068927,true
1567316764222580736,1237662340012573198,587736618787668421,239.5727,27.26932,15:58:17.45,+27:16:09.6,0.14485514,0.0,0.27672329999999995,6.932599000000001,3.138903,6.419853,1.315602,5.587837,1.020918,5.037751,1.1642370000000002,4.933367,0.9073747,19.68372,0.169977,17.83231,0.0423276,17.1609,0.02090334,16.83803,0.02815188,16.63251,0.04114646,0.18819439999999998,0.1466398,0.1014447,0.0753843,0.05607207,85.80449,0.08485179,0.0182416153201765,0.0143980979434771,b'2CXO J155814.2+271620',239.55952959442016,27.272324599523454,0.2993452147336224,0.29680978673072445,18.87531927936879,0.25622984544217225,0.2568541215565533,0.2555813367467415,0.2560463160166139,0.2521802775352842,48.63161657377069,8.703120111372376,0.29976546489500283,true
1913040883737978880,1237661949725114460,588017703476920605,202.3654,11.804889999999999,13:29:27.69,+11:48:17.6,0.125,0.0,0.0,8.15851,0.8928389999999999,9.529734,0.3223972,9.608618,0.4072175,9.205295,0.4156543,7.412552000000001,0.6236113,19.07835,0.1923825,16.82449,0.01079401,15.793560000000001,0.007596566,15.336429999999998,0.006233681,15.10565,0.01647002,0.1462646,0.1139684,0.0788428,0.05858865,0.04357919,78.96777,0.08471438,0.0038767380897601796,0.0035186619729636,b'2CXO J132930.3+114857',202.37635591868514,11.816047968283666,0.33243586416260545,0.3033111104839016,10.937947229323651,0.38290571233325177,0.3470478174696536,0.3955359281093425,0.3996698040896696,0.3999602988688578,56.29511559185587,5.858815033739074,0.3179624749110425,true
1997401198507878400,1237664289935196412,587738568710291707,201.0074,13.953370000000001,13:24:01.79,+13:57:12.1,0.8,0.2,0.0,8.720423,1.137254,7.012153,0.44359849999999995,7.070359,0.4464229,7.025361999999999,0.4373554,6.28814,16.228460000000002,18.1809,0.04778256,16.702720000000003,0.01014667,15.95429,0.008812111,15.603660000000001,0.009454296,15.37894,0.01799115,0.11886310000000001,0.09261733,0.06407224,0.04761254,0.03541498,79.77145,0.02384215,0.00479106571011301,0.0055833275024643,b'2CXO J132402.4+135750',201.01037526540017,13.963929711704889,0.3620621598366971,0.33506824965982024,8.61120418582971,0.26331472748423296,0.257149958705173,0.26671045617462047,0.2678524079816511,0.17663154146648344,39.49508719796019,5.5860087441048165,0.33717257540659223,true
2046950977977739264,1237662237485564332,588017991237370238,229.1495,7.085853999999999,15:16:35.87,+07:05:09.1,0.5,0.0,0.0,5.0442279999999995,0.7260353,5.004654,0.42626709999999995,4.760835,0.4350552,4.729497,0.4628538,4.689202,0.42620779999999997,18.151970000000002,0.05712116,16.37866,0.01973887,15.536,0.01811242,15.10379,0.01992623,14.7962,0.01992905,0.1524953,0.11882329999999999,0.08220141,0.06108446,0.04543561,77.68002,0.03502518,0.0034028831847154103,0.0023372004189981897,b'2CXO J151638.3+070529',229.1598735017376,7.0915885828359135,0.35082476357332115,0.32004224022457195,9.838314411750012,0.5379727838981964,0.515314523096159,0.5406034419368972,0.5494530574768695,0.3828217157552829,42.671007987687766,8.962925198560287,0.3438814040699426,true
2277709869802874880,1237665128549449911,587739407324545210,200.1709,34.18427,13:20:41.01,+34:11:03.4,0.4995005,0.16683316,0.05843257,5.2732779999999995,0.1959511,5.279904,0.1188945,4.729208,0.1097181,4.392084,0.08231369,3.99128,0.12197650000000002,18.058429999999998,0.03582728,16.77956,0.005672229,16.20034,0.005436879,15.838820000000002,0.005949768,15.619000000000002,0.01742361,0.0527279,0.04108522,0.02842257,0.02112101,0.01571015,81.0017,0.06425186,0.00464172436354584,0.0038788654891434397,b'2CXO J132037.8+341126',200.1578600730204,34.19064379384821,0.2980643497904411,0.29323946716971006,23.822591263671214,0.46156472787065095,0.41917644396106124,0.47635335918629657,0.48029004345233023,0.48027231393439174,52.25148485677846,11.048675561907716,0.2971741464430117,true
2378005391024875520,1237665023836881158,587739302611976229,200.0996,33.176809999999996,13:20:23.90,+33:10:36.5,0.44,0.0,0.28,5.699972,0.5594574999999999,4.70779,0.1988601,4.4131089999999995,0.20751999999999998,4.400113,0.2049123,4.460767,0.18204520000000002,18.08861,0.02884594,16.247889999999998,0.01158582,15.39918,0.01101694,15.00026,0.01112224,14.675429999999999,0.01165198,0.06674974,0.05201095,0.03598093,0.02673769,0.01988793,76.99588,0.03450099,0.0022585223901032897,0.00300370333000677,b'2CXO J132021.1+331024',200.08820207516465,33.17354444517717,0.3532399486633057,0.3188889702335785,5.891160612798475,0.1272423348182894,0.07959095396384891,0.1386476025123404,0.1413475099720431,0.1378583546536144,42.68339189356935,9.671955053357928,0.350759789076108,true
